Points_0,Points_1,Points_2,U_0,U_1,U_2,p
2,2.5,12.33,-0.00126883,0.00713775,-0.322014,262.402
2,2.5,12.36,-0.00119679,0.00629982,-0.321671,262.443
2,2.5,12.39,-0.00112582,0.00547482,-0.321366,262.484
2,2.5,12.42,-0.00105738,0.00468011,-0.321149,262.525
2,2.5,12.45,-0.00116187,0.00284573,-0.319836,262.569
2,2.5,12.48,-0.0014568,0.00206584,-0.318652,262.618
2,2.5,12.51,-0.00172744,0.00151155,-0.31648,262.666
2,2.5,12.54,-0.00192142,0.00108451,-0.313056,262.712
2,2.5,12.57,-0.00213041,0.000672453,-0.310262,262.76
2,2.5,12.6,-0.00250111,0.000394098,-0.313808,262.815
2,2.5,12.63,-0.00286147,-9.75936e-05,-0.313613,262.87
